seedling_stage,plant_id,date,vigor,observations,treatment,final_observation
newly germinated,1,4/11/20,1,first treatment,A,
newly germinated,3,4/11/20,1,first treatment,A,
newly germinated,8,4/11/20,1,first treatment,A,
newly germinated,11,4/11/20,1,first treatment,A,
newly germinated,12,4/11/20,1,first treatment,A,
newly germinated,15,4/11/20,1,first treatment,A,
newly germinated,16,4/11/20,1,first treatment,A,
newly germinated,17,4/11/20,1,first treatment,A,
newly germinated,23,4/11/20,1,first treatment,A,
newly germinated,30,4/11/20,1,first treatment,A,
newly germinated,6,4/11/20,1,first treatment,C,
newly germinated,7,4/11/20,1,first treatment,C,
newly germinated,14,4/11/20,1,first treatment,C,
newly germinated,18,4/11/20,1,first treatment,C,
newly germinated,19,4/11/20,1,first treatment,C,
newly germinated,20,4/11/20,1,first treatment,C,
newly germinated,21,4/11/20,1,first treatment,C,
newly germinated,27,4/11/20,1,first treatment,C,
newly germinated,28,4/11/20,1,first treatment,C,
newly germinated,29,4/11/20,1,first treatment,C,
newly germinated,2,4/11/20,1,first treatment,D,
newly germinated,4,4/11/20,1,first treatment,D,
newly germinated,5,4/11/20,1,first treatment,D,
newly germinated,9,4/11/20,1,first treatment,D,
newly germinated,10,4/11/20,1,first treatment,D,
newly germinated,13,4/11/20,1,first treatment,D,
newly germinated,22,4/11/20,1,first treatment,D,
newly germinated,24,4/11/20,1,first treatment,D,
newly germinated,25,4/11/20,1,first treatment,D,
newly germinated,26,4/11/20,1,first treatment,D,
newly germinated,1,4/13/20,1,no apparent changes,A,
newly germinated,3,4/13/20,1,no apparent changes,A,
newly germinated,8,4/13/20,1,no apparent changes,A,
newly germinated,11,4/13/20,1,no apparent changes,A,
newly germinated,12,4/13/20,1,no apparent changes,A,
newly germinated,15,4/13/20,1,no apparent changes,A,
newly germinated,16,4/13/20,1,no apparent changes,A,
newly germinated,17,4/13/20,1,no apparent changes,A,
newly germinated,23,4/13/20,1,no apparent changes,A,
newly germinated,30,4/13/20,1,no apparent changes,A,
newly germinated,6,4/13/20,1,no apparent changes,C,
newly germinated,7,4/13/20,1,no apparent changes,C,
newly germinated,14,4/13/20,1,no apparent changes,C,
newly germinated,18,4/13/20,1,no apparent changes,C,
